Punkt,East,North,Height,Type,Code,Date,,,,
2,0.000,0.000,0.000,measured,0,16.12.2022,,,,
G4,32566572.240,5933176.435,0.001,measured,0,16.12.2022,,,,
2003,32566569.691,5933184.590,-0.084,measured,0,16.12.2022,,,,
2004,32566562.996,5933169.756,0.138,measured,0,16.12.2022,,,,
2005,32566584.619,5933146.620,0.150,measured,0,16.12.2022,,,,
G4001,32566536.762,5933200.351,-0.033,measured,5,16.12.2022,,,,
G4002,32566539.550,5933201.354,-0.005,measured,5,16.12.2022,,,,
G4003,32566558.434,5933183.911,0.007,measured,5,16.12.2022,,,,
G4004,32566559.504,5933183.138,-0.627,measured,5,16.12.2022,,,,
G4005,32566561.332,5933182.118,0.009,measured,5,16.12.2022,,,,
G4006,32566561.144,5933182.244,-0.642,measured,5,16.12.2022,,,,
G4007,32566565.833,5933182.085,0.008,measured,5,16.12.2022,,,,
G4008,32566565.205,5933181.964,-0.666,measured,5,16.12.2022,,,,
G4009,32566569.110,5933184.416,0.007,measured,5,16.12.2022,,,,
G4010,32566569.157,5933184.524,-0.687,measured,5,16.12.2022,,,,
G4011,32566583.821,5933203.808,-0.005,measured,5,16.12.2022,,,,
G4012,32566583.778,5933203.777,-0.728,measured,5,16.12.2022,,,,
G4013,32566585.900,5933209.562,-0.014,measured,5,16.12.2022,,,,
G4014,32566585.866,5933209.271,-0.810,measured,5,16.12.2022,,,,
G4015,32566585.797,5933208.613,-0.767,measured,5,16.12.2022,,,,
G4016,32566583.199,5933213.847,-0.017,measured,5,16.12.2022,,,,
G4017,32566583.152,5933213.848,-0.821,measured,5,16.12.2022,,,,
G4018,32566581.648,5933215.011,-0.012,measured,5,16.12.2022,,,,
G4019,32566581.653,5933214.970,-0.794,measured,5,16.12.2022,,,,
G4020,32566555.378,5933189.399,-0.631,measured,5,16.12.2022,,,,
G4021,32566560.796,5933200.131,-0.890,measured,5,16.12.2022,,,,
G4022,32566569.820,5933210.191,-0.838,measured,5,16.12.2022,,,,
G4023,32566570.617,5933200.076,-0.849,measured,3,16.12.2022,,,,
G4024,32566570.284,5933200.276,-0.845,measured,3,16.12.2022,,,,
G4025,32566570.461,5933200.251,-0.436,measured,3,16.12.2022,,,,
G4026,32566573.319,5933203.038,-0.836,measured,3,16.12.2022,,,,
G4027,32566573.181,5933203.409,-0.826,measured,3,16.12.2022,,,,
G4028,32566573.233,5933203.195,-0.418,measured,3,16.12.2022,,,,
G4029,32566577.070,5933203.430,-0.785,measured,3,16.12.2022,,,,
G4030,32566577.111,5933203.809,-0.772,measured,3,16.12.2022,,,,
G4031,32566577.033,5933203.633,-0.373,measured,3,16.12.2022,,,,
G4032,32566571.378,5933138.912,0.190,measured,3,16.12.2022,,,,
G4033,32566571.772,5933138.882,0.207,measured,3,16.12.2022,,,,
G4034,32566571.550,5933138.811,0.600,measured,3,16.12.2022,,,,
G4035,32566570.879,5933131.398,0.223,measured,3,16.12.2022,,,,
G4036,32566571.262,5933131.377,0.232,measured,3,16.12.2022,,,,
G4037,32566571.101,5933131.762,0.631,measured,3,16.12.2022,,,,
G4038,32566580.051,5933158.734,0.209,measured,12,16.12.2022,,,,
G4039,32566580.326,5933159.105,0.225,measured,12,16.12.2022,,,,
G4040,32566594.679,5933147.623,0.668,measured,12,16.12.2022,,,,
G4041,32566595.066,5933148.262,-0.099,measured,12,16.12.2022,,,,
G4042,32566620.680,5933127.873,1.475,measured,12,16.12.2022,,,,
G4043,32566620.950,5933129.268,-0.808,measured,12,16.12.2022,,,,
G4044,32566575.054,5933174.532,0.087,measured,12,16.12.2022,,,,
G4045,32566575.359,5933174.910,0.058,measured,12,16.12.2022,,,,
G4046,32566590.916,5933162.076,0.009,measured,12,16.12.2022,,,,
G4047,32566591.245,5933162.845,0.699,measured,12,16.12.2022,,,,
G4048,32566603.657,5933152.391,-0.260,measured,12,16.12.2022,,,,
G4049,32566604.349,5933152.897,1.161,measured,12,16.12.2022,,,,
G4050,32566555.165,5933163.984,0.143,measured,12,16.12.2022,,,,
G4051,32566537.456,5933147.521,1.633,measured,12,16.12.2022,,,,
G4052,32566533.448,5933187.431,0.089,measured,12,16.12.2022,,,,
G4053,32566528.186,5933188.861,0.161,measured,12,16.12.2022,,,,
G4054,32566551.151,5933164.070,1.704,measured,12,16.12.2022,,,,
G4055,32566521.786,5933182.934,1.607,measured,12,16.12.2022,,,,
G4056,32566522.778,5933180.472,1.628,measured,12,16.12.2022,,,,
G4057,32566528.290,5933185.552,1.660,measured,4,16.12.2022,,,,
G4058,32566549.327,5933162.761,1.671,measured,4,16.12.2022,,,,
G4059,32566543.861,5933157.696,1.669,measured,4,16.12.2022,,,,
G4060,32566532.764,5933198.595,-0.012,measured,11,16.12.2022,,,,
G4061,32566535.231,5933191.523,0.118,measured,11,16.12.2022,,,,
G4062,32566537.379,5933194.904,0.036,measured,11,16.12.2022,,,,
G4063,32566532.635,5933193.272,0.079,measured,11,16.12.2022,,,,
G4064,32566535.589,5933196.330,0.038,measured,11,16.12.2022,,,,
G4065,32566552.116,5933183.886,0.046,measured,11,16.12.2022,,,,
G4066,32566552.493,5933178.685,0.131,measured,11,16.12.2022,,,,
G4067,32566564.272,5933168.875,0.152,measured,11,16.12.2022,,,,
G4068,32566575.330,5933167.310,0.142,measured,11,16.12.2022,,,,
G4069,32566568.016,5933156.351,0.144,measured,11,16.12.2022,,,,
G4070,32566570.725,5933162.439,0.140,measured,11,16.12.2022,,,,
G4071,32566569.607,5933161.707,0.143,measured,11,16.12.2022,,,,
G4072,32566571.305,5933149.743,0.174,measured,11,16.12.2022,,,,
G4073,32566572.037,5933147.664,0.181,measured,11,16.12.2022,,,,
G4074,32566576.823,5933141.243,0.202,measured,11,16.12.2022,,,,
G4075,32566568.432,5933137.025,0.191,measured,11,16.12.2022,,,,
G4076,32566571.289,5933141.685,0.183,measured,11,16.12.2022,,,,
G4077,32566572.055,5933143.014,0.204,measured,11,16.12.2022,,,,
G4078,32566574.980,5933141.154,0.190,measured,11,16.12.2022,,,,
G4079,32566577.635,5933137.617,0.173,measured,11,16.12.2022,,,,
G4080,32566578.787,5933153.907,0.126,measured,11,16.12.2022,,,,
G4081,32566585.949,5933145.356,0.156,measured,11,16.12.2022,,,,
G4082,32566589.556,5933148.033,0.256,measured,11,16.12.2022,,,,
G4083,32566581.033,5933157.174,0.208,measured,11,16.12.2022,,,,
G4084,32566588.665,5933157.775,0.007,measured,11,16.12.2022,,,,
G4085,32566607.324,5933143.563,-0.462,measured,11,16.12.2022,,,,
G4086,32566597.850,5933193.556,1.671,measured,11,16.12.2022,,,,
G4087,32566607.151,5933172.155,1.672,measured,11,16.12.2022,,,,
G4088,32566593.568,5933194.667,1.416,measured,101,16.12.2022,,,,
G4089,32566597.168,5933180.037,1.175,measured,101,16.12.2022,,,,
G4090,32566592.012,5933177.055,0.736,measured,101,16.12.2022,,,,
G4091,32566596.053,5933172.773,1.109,measured,101,16.12.2022,,,,
G4092,32566598.608,5933166.726,0.926,measured,101,16.12.2022,,,,
G4093,32566591.061,5933167.518,0.758,measured,101,16.12.2022,,,,
G4094,32566586.619,5933173.374,0.461,measured,101,16.12.2022,,,,
G4095,32566577.492,5933190.313,0.062,measured,101,16.12.2022,,,,
G4096,32566575.033,5933199.445,-0.872,measured,101,16.12.2022,,,,
G4097,32566580.256,5933211.530,-0.743,measured,101,16.12.2022,,,,
G4098,32566580.599,5933203.543,-0.727,measured,101,16.12.2022,,,,
G4099,32566573.705,5933207.402,-0.823,measured,101,16.12.2022,,,,
G4100,32566555.033,5933214.056,-0.831,measured,101,16.12.2022,,,,
G4101,32566554.946,5933194.903,-0.749,measured,101,16.12.2022,,,,
G4102,32566547.988,5933199.068,-0.715,measured,101,16.12.2022,,,,
G4103,32566546.489,5933202.287,-0.766,measured,101,16.12.2022,,,,
G4104,32566543.253,5933202.304,-0.754,measured,101,16.12.2022,,,,
G4105,32566540.896,5933194.542,0.100,measured,101,16.12.2022,,,,
G4106,32566529.779,5933193.105,0.049,measured,101,16.12.2022,,,,
G4107,32566540.531,5933184.925,0.176,measured,101,16.12.2022,,,,
G4108,32566542.998,5933181.151,0.219,measured,101,16.12.2022,,,,
G4109,32566563.129,5933165.879,0.150,measured,101,16.12.2022,,,,
G4110,32566558.584,5933158.922,0.182,measured,101,16.12.2022,,,,
G4111,32566566.911,5933154.770,0.132,measured,101,16.12.2022,,,,
G4112,32566567.503,5933146.619,0.201,measured,101,16.12.2022,,,,
G4113,32566573.245,5933149.261,0.137,measured,101,16.12.2022,,,,
G4114,32566572.936,5933141.121,0.110,measured,101,16.12.2022,,,,
G4115,32566576.927,5933146.689,0.104,measured,101,16.12.2022,,,,
G4116,32566597.130,5933142.857,0.754,measured,101,16.12.2022,,,,
G4117,32566575.909,5933183.685,0.088,measured,112,16.12.2022,,,,
G4118,32566585.604,5933189.096,0.487,measured,112,16.12.2022,,,,
G4119,32566594.298,5933186.320,1.176,measured,112,16.12.2022,,,,
G4120,32566584.538,5933180.664,0.472,measured,112,16.12.2022,,,,
G4121,32566589.362,5933170.818,0.644,measured,112,16.12.2022,,,,
G4122,32566607.359,5933162.646,1.512,measured,112,16.12.2022,,,,
G4123,32566605.203,5933170.976,1.562,measured,112,16.12.2022,,,,
G4124,32566561.849,5933148.836,0.173,measured,112,16.12.2022,,,,
G4125,32566559.238,5933141.755,0.914,measured,112,16.12.2022,,,,
G4126,32566565.750,5933141.072,0.267,measured,112,16.12.2022,,,,
G4127,32566558.246,5933137.910,2.055,measured,112,16.12.2022,,,,
G4128,32566560.871,5933132.678,3.033,measured,112,16.12.2022,,,,
G4129,32566557.864,5933135.178,2.918,measured,112,16.12.2022,,,,
G4130,32566554.285,5933134.667,2.529,measured,112,16.12.2022,,,,
G4131,32566552.273,5933138.826,1.565,measured,112,16.12.2022,,,,
G4132,32566557.316,5933146.127,0.578,measured,112,16.12.2022,,,,
G4133,32566559.640,5933154.663,0.132,measured,112,16.12.2022,,,,
G4134,32566552.074,5933148.341,0.749,measured,112,16.12.2022,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
